### single symbol backtest metrics ###

update: 2023-12-23

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp            average daily gain, recent data weighted heavier
adg_per_exp              average daily gain for whole backtest
exp_rts_mean             exposure ratios mean: average wallet exposure during backtest
time_at_max_exp          ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max            how many hours in a stretch with no fills
pa_dist_mean             price action distance mean: the average distance between position price and market price
pa_dist_std              price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean  mean of 1% highest pa_dist_mean
loss_profit_rt           loss to profit ratio: abs(sum(losses)) / sum(profit)
drawdown_max             max drawdown
drawdown_1pct_worst_mean mean of 1% worst drawdowns from hourly samples
sharpe_ratio             sharpe ratio (excluding risk free return) from daily samples
n_days                   backtest number of days
score                    used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                                   long                                                                                                                   |
+---------------+---------------+-------------+--------------+-----------------+--------------+-------------+---------------+-------------------------+----------------+--------------------------+--------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | pa_dist_mean | pa_dist_std | hrs_stuck_max | pa_dist_1pct_worst_mean | loss_profit_rt | drawdown_1pct_worst_mean | drawdown_max | n_days  | score         |
+---------------+---------------+-------------+--------------+-----------------+--------------+-------------+---------------+-------------------------+----------------+--------------------------+--------------+---------+---------------+
| ARKUSDT       | 0.003789      | 0.003101    | 0.02307      | 0.01259         | 0.009692     | 0.007715    | 42.48         | 0.04061                 | 0.0            | 0.03799                  | 0.07242      | 91.29   | 271999999.996 |
| FRONTUSDT     | 0.002541      | 0.002409    | 0.04652      | 0.03449         | 0.006744     | 0.009635    | 48.93         | 0.0652                  | 0.0            | 0.06122                  | 0.0877       | 88.38   | 271999999.997 |
| SEIUSDT       | 0.002716      | 0.002048    | 0.08891      | 0.0481          | 0.009923     | 0.009998    | 117.5         | 0.0854                  | 0.0            | 0.07908                  | 0.1268       | 124.88  | 271999999.997 |
| YGGUSDT       | 0.002524      | 0.002326    | 0.06432      | 0.01324         | 0.009966     | 0.01033     | 72.9          | 0.06341                 | 0.0            | 0.05795                  | 0.07         | 136.83  | 271999999.997 |
| 1000PEPEUSDT  | 0.003185      | 0.001705    | 0.02176      | 0.0002737       | 0.01518      | 0.01126     | 86.42         | 0.04498                 | 0.0            | 0.006425                 | 0.03151      | 228.29  | 271999999.997 |
| BNTUSDT       | 0.001523      | 0.001456    | 0.04358      | 0.004656        | 0.008246     | 0.006707    | 69.77         | 0.03123                 | 0.0            | 0.01596                  | 0.02969      | 131.46  | 271999999.998 |
| MINAUSDT      | 0.001592      | 0.001219    | 0.02311      | 0.006667        | 0.006795     | 0.007311    | 52.27         | 0.03928                 | 0.0            | 0.02889                  | 0.1142       | 315.5   | 271999999.998 |
| ARKMUSDT      | 0.002286      | 0.001913    | 0.05089      | 0.02654         | 0.007788     | 0.009691    | 60.47         | 0.07                    | 0.0            | 0.06539                  | 0.1247       | 144.88  | 271999999.998 |
| FETUSDT       | 0.001579      | 0.001571    | 0.03273      | 0.01382         | 0.006099     | 0.005081    | 66.25         | 0.02115                 | 0.0            | 0.01399                  | 0.05591      | 336.88  | 271999999.998 |
| CYBERUSDT     | 0.001921      | 0.0023      | 0.02522      | 0.004667        | 0.004985     | 0.004806    | 23.45         | 0.0275                  | 0.0            | 0.01523                  | 0.0266       | 120.46  | 271999999.998 |
| HFTUSDT       | 0.001696      | 0.001179    | 0.0742       | 0.02892         | 0.01019      | 0.01343     | 80.12         | 0.0982                  | 0.0            | 0.08926                  | 0.1289       | 257.46  | 271999999.998 |
| MAVUSDT       | 0.002212      | 0.001785    | 0.0913       | 0.02113         | 0.01094      | 0.009718    | 69.2          | 0.05917                 | 0.0            | 0.05414                  | 0.09594      | 173.46  | 271999999.998 |
| GLMRUSDT      | 0.001878      | 0.001497    | 0.04076      | 0.0002451       | 0.008026     | 0.006872    | 51.73         | 0.03299                 | 0.0            | 0.0131                   | 0.01851      | 84.92   | 271999999.998 |
| DODOXUSDT     | 0.002103      | 0.001881    | 0.07118      | 0.001997        | 0.009973     | 0.008867    | 74.43         | 0.05509                 | 0.0            | 0.03749                  | 0.054        | 133.46  | 271999999.998 |
| 1000LUNCUSDT  | 0.001974      | 0.001823    | 0.03817      | 0.008129        | 0.007278     | 0.007145    | 99.13         | 0.04826                 | 0.0            | 0.03835                  | 0.09904      | 466.42  | 271999999.998 |
| PENDLEUSDT    | 0.001536      | 0.001149    | 0.03371      | 0.0             | 0.009271     | 0.007599    | 73.77         | 0.03711                 | 0.0            | 0.01238                  | 0.02196      | 144.88  | 271999999.998 |
| BLURUSDT      | 0.002336      | 0.001547    | 0.03072      | 0.01162         | 0.009294     | 0.008549    | 107.6         | 0.05022                 | 0.0            | 0.04274                  | 0.1164       | 235.46  | 271999999.998 |
| WLDUSDT       | 0.002419      | 0.001832    | 0.07937      | 0.04581         | 0.01383      | 0.01229     | 52.87         | 0.07118                 | 0.0            | 0.06554                  | 0.1267       | 148.46  | 271999999.998 |
| HIFIUSDT      | 0.00162       | 0.002145    | 0.1691       | 0.1038          | 0.01307      | 0.01421     | 119.4         | 0.08807                 | 0.0            | 0.08089                  | 0.0933       | 94.38   | 271999999.998 |
| INJUSDT       | 0.001768      | 0.001206    | 0.03138      | 0.001786        | 0.008138     | 0.0088      | 87.02         | 0.05322                 | 0.0            | 0.02901                  | 0.0648       | 489.88  | 271999999.998 |
| COMBOUSDT     | 0.001995      | 0.00158     | 0.05174      | 0.02516         | 0.0108       | 0.009691    | 54.13         | 0.06181                 | 0.0            | 0.05809                  | 0.09154      | 200.46  | 271999999.998 |
