### single symbol backtest metrics ###

update: 2023-09-11

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp           average daily gain, recent data weighted heavier
adg_per_exp             average daily gain for whole backtest
exp_rts_mean            exposure ratios mean: average wallet exposure during backtest
time_at_max_exp         ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max           how many hours in a stretch with no fills
pa_dist_mean            price action distance mean: the average distance between position price and market price
pa_dist_std             price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean mean of 1% highest pa_dist_mean
loss_profit_rt          loss to profit ratio: abs(sum(losses)) / sum(profit)
n_days                  backtest number of days
score                   used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                              long                                                                                              |
+---------------+---------------+-------------+--------------+-----------------+---------------+--------------+-------------+-------------------------+----------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | pa_dist_1pct_worst_mean | loss_profit_rt | n_days  | score         |
| DOGEUSDT      | 0.001566      | 0.002653    | 0.108        | 0.04758         | 54.93         | 0.01352      | 0.02016     | 0.1467                  | 0.0611         | 1157.62 | 1297211.49843 |
| ARBUSDT       | 0.001566      | 0.001152    | 0.09596      | 0.02738         | 31.75         | 0.01241      | 0.01275     | 0.07002                 | 0.03557        | 170.37  | 1297211.49843 |
| ENJUSDT       | 0.001561      | 0.001375    | 0.1101       | 0.04377         | 48.33         | 0.01922      | 0.02323     | 0.1494                  | 0.05231        | 1076.71 | 1297211.49844 |
| PERPUSDT      | 0.001562      | 0.000833    | 0.144        | 0.07265         | 40.18         | 0.01697      | 0.01746     | 0.1154                  | 0.05237        | 187.5   | 1297211.49844 |
| XLMUSDT       | 0.001545      | 0.001487    | 0.1202       | 0.06859         | 57.48         | 0.01542      | 0.02236     | 0.1323                  | 0.05378        | 1329.66 | 1297211.49845 |
| SPELLUSDT     | 0.001531      | 0.00087     | 0.07943      | 0.02295         | 24.82         | 0.01261      | 0.01121     | 0.05528                 | 0.07329        | 368.5   | 1297211.49847 |
| ZENUSDT       | 0.001515      | 0.00203     | 0.1277       | 0.06697         | 54.03         | 0.01834      | 0.02096     | 0.1295                  | 0.02567        | 1019.71 | 1297211.49848 |
| DENTUSDT      | 0.001501      | 0.001372    | 0.1016       | 0.05746         | 56.4          | 0.01868      | 0.02149     | 0.1181                  | 0.04944        | 899.83  | 1297211.4985  |
| BCHUSDT       | 0.001489      | 0.001364    | 0.1289       | 0.06035         | 53.78         | 0.01337      | 0.01618     | 0.1046                  | 0.0298         | 1349.0  | 1297211.49851 |
| UNFIUSDT      | 0.001485      | 0.001718    | 0.0931       | 0.03252         | 39.57         | 0.01905      | 0.02059     | 0.1331                  | 0.04285        | 932.71  | 1297211.49852 |
| LDOUSDT       | 0.001474      | 0.001462    | 0.1114       | 0.03546         | 56.97         | 0.01845      | 0.02026     | 0.138                   | 0.06208        | 352.5   | 1297211.49853 |
| BELUSDT       | 0.00144       | 0.002017    | 0.09385      | 0.0455          | 56.42         | 0.01409      | 0.02217     | 0.1465                  | 0.07263        | 1025.71 | 1297211.49856 |
| REEFUSDT      | 0.001436      | 0.001777    | 0.1352       | 0.06946         | 52.55         | 0.01964      | 0.02178     | 0.1459                  | 0.06816        | 929.7   | 1297211.49856 |
