### single symbol backtest metrics ###

update: 2023-12-01

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp            average daily gain, recent data weighted heavier
adg_per_exp              average daily gain for whole backtest
exp_rts_mean             exposure ratios mean: average wallet exposure during backtest
time_at_max_exp          ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max            how many hours in a stretch with no fills
pa_dist_mean             price action distance mean: the average distance between position price and market price
pa_dist_std              price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean  mean of 1% highest pa_dist_mean
loss_profit_rt           loss to profit ratio: abs(sum(losses)) / sum(profit)
drawdown_max             max drawdown
drawdown_1pct_worst_mean mean of 1% worst drawdowns from hourly samples
sharpe_ratio             sharpe ratio (excluding risk free return) from daily samples
n_days                   backtest number of days
score                    used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                                   long                                                                                                                   |
+---------------+---------------+-------------+--------------+-----------------+--------------+-------------+---------------+-------------------------+----------------+--------------------------+--------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | pa_dist_mean | pa_dist_std | hrs_stuck_max | pa_dist_1pct_worst_mean | loss_profit_rt | drawdown_1pct_worst_mean | drawdown_max | n_days  | score         |
| STXUSDT       | 0.001542      | 0.001686    | 0.09446      | 0.0143          | 0.01408      | 0.01093     | 95.62         | 0.06913                 | 0.02035        | 0.06311                  | 0.109        | 281.38  | 276499999.998 |
| ARBUSDT       | 0.001947      | 0.0009084   | 0.03591      | 0.008269        | 0.01085      | 0.009783    | 106.3         | 0.05948                 | 0.01185        | 0.04014                  | 0.08549      | 251.33  | 276499999.998 |
| LQTYUSDT      | 0.002108      | 0.001584    | 0.04875      | 0.02565         | 0.01343      | 0.01264     | 99.8          | 0.08337                 | 0.01853        | 0.07711                  | 0.1418       | 264.46  | 276499999.998 |
| ASTRUSDT      | 0.001763      | 0.001311    | 0.09457      | 0.05103         | 0.01147      | 0.01048     | 78.43         | 0.08203                 | 0.104          | 0.08473                  | 0.1092       | 288.88  | 276499999.998 |
| NMRUSDT       | 0.002327      | 0.001971    | 0.07121      | 0.01398         | 0.005458     | 0.007687    | 36.75         | 0.0743                  | 0.003246       | 0.06804                  | 0.1047       | 160.46  | 276499999.998 |
| UNFIUSDT      | 0.001565      | 0.002138    | 0.07436      | 0.01272         | 0.01976      | 0.01625     | 118.8         | 0.09975                 | 0.03472        | 0.08996                  | 0.2179       | 1013.67 | 276499999.998 |
| CRVUSDT       | 0.0007908     | 0.001723    | 0.05787      | 0.02638         | 0.01325      | 0.01469     | 132.9         | 0.09811                 | 0.0218         | 0.0882                   | 0.2452       | 1184.67 | 276499999.999 |
| XEMUSDT       | 0.0007221     | 0.001825    | 0.05492      | 0.02745         | 0.01276      | 0.01448     | 139.1         | 0.09196                 | 0.02588        | 0.08487                  | 0.1754       | 1001.67 | 276499999.999 |
| AAVEUSDT      | 0.001285      | 0.00257     | 0.05464      | 0.03339         | 0.01272      | 0.01393     | 118.4         | 0.0924                  | 0.02394        | 0.08503                  | 0.2211       | 1139.67 | 276499999.999 |
| EGLDUSDT      | 0.0008394     | 0.00181     | 0.08549      | 0.03601         | 0.01616      | 0.01838     | 110.5         | 0.09829                 | 0.09691        | 0.09228                  | 0.1823       | 1171.67 | 276499999.999 |
| ALPHAUSDT     | 0.001004      | 0.002367    | 0.05068      | 0.02393         | 0.01321      | 0.01208     | 95.4          | 0.0862                  | 0.02286        | 0.07956                  | 0.1624       | 1101.67 | 276499999.999 |
| KNCUSDT       | 0.0005117     | 0.0009106   | 0.03789      | 0.0103          | 0.01804      | 0.01404     | 131.1         | 0.07397                 | 0.007599       | 0.05016                  | 0.1777       | 1255.62 | 276499999.999 |
| ETHUSDT       | 0.0005704     | 0.001706    | 0.0445       | 0.02892         | 0.005835     | 0.009107    | 55.37         | 0.06102                 | 0.04284        | 0.06525                  | 0.1248       | 1428.96 | 276499999.999 |
