### single symbol backtest metrics ###

update: 2023-09-11

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp           average daily gain, recent data weighted heavier
adg_per_exp             average daily gain for whole backtest
exp_rts_mean            exposure ratios mean: average wallet exposure during backtest
time_at_max_exp         ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max           how many hours in a stretch with no fills
pa_dist_mean            price action distance mean: the average distance between position price and market price
pa_dist_std             price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean mean of 1% highest pa_dist_mean
loss_profit_rt          loss to profit ratio: abs(sum(losses)) / sum(profit)
n_days                  backtest number of days
score                   used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                              long                                                                                              |
+---------------+---------------+-------------+--------------+-----------------+---------------+--------------+-------------+-------------------------+----------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | pa_dist_1pct_worst_mean | loss_profit_rt | n_days  | score         |
| BLURUSDT      | 0.001421      | 0.001753    | 0.1149       | 0.07869         | 123.3         | 0.01471      | 0.02411     | 0.1366                  | 0.04812        | 134.46  | 1297211.49858 |
| ATOMUSDT      | 0.001407      | 0.003049    | 0.1185       | 0.07075         | 86.97         | 0.01096      | 0.02157     | 0.1495                  | 0.03655        | 1311.46 | 1297211.49859 |
| RLCUSDT       | 0.001401      | 0.00327     | 0.06409      | 0.03519         | 112.0         | 0.01372      | 0.01503     | 0.09694                 | 0.01355        | 1136.67 | 1297211.4986  |
| 1000SHIBUSDT  | 0.001369      | 0.003413    | 0.05204      | 0.0244          | 65.68         | 0.008444     | 0.01547     | 0.131                   | 0.01415        | 852.25  | 1297211.49863 |
| AAVEUSDT      | 0.001351      | 0.003138    | 0.08175      | 0.04986         | 120.0         | 0.01427      | 0.02116     | 0.1465                  | 0.08625        | 1059.67 | 1297211.49865 |
| BELUSDT       | 0.001323      | 0.00236     | 0.09664      | 0.05395         | 120.3         | 0.01669      | 0.01846     | 0.1406                  | 0.02069        | 1025.67 | 1297211.49868 |
| OPUSDT        | 0.001325      | 0.002288    | 0.1382       | 0.08979         | 51.02         | 0.01701      | 0.02381     | 0.1326                  | 0.06069        | 465.38  | 1297211.49868 |
| AGIXUSDT      | 0.001309      | 0.001867    | 0.1186       | 0.06531         | 102.1         | 0.01503      | 0.02153     | 0.1476                  | 0.07134        | 205.38  | 1297211.49869 |
| RNDRUSDT      | 0.001305      | 0.003024    | 0.06359      | 0.03007         | 45.48         | 0.008561     | 0.007717    | 0.05313                 | 0.006407       | 218.88  | 1297211.4987  |
| CELRUSDT      | 0.001281      | 0.002734    | 0.1155       | 0.03544         | 135.9         | 0.01773      | 0.01944     | 0.1497                  | 0.02616        | 894.67  | 1297211.49872 |
| DOTUSDT       | 0.001273      | 0.003203    | 0.1438       | 0.08586         | 129.5         | 0.01156      | 0.01826     | 0.1233                  | 0.04477        | 1114.67 | 1297211.49873 |
