### single symbol backtest metrics ###

update: 2024-02-03

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp            average daily gain, recent data weighted heavier
adg_per_exp              average daily gain for whole backtest
exp_rts_mean             exposure ratios mean: average wallet exposure during backtest
time_at_max_exp          ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max            how many hours in a stretch with no fills
pa_dist_mean             price action distance mean: the average distance between position price and market price
pa_dist_std              price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean  mean of 1% highest pa_dist_mean
loss_profit_rt           loss to profit ratio: abs(sum(losses)) / sum(profit)
drawdown_max             max drawdown
drawdown_1pct_worst_mean mean of 1% worst drawdowns from hourly samples
sharpe_ratio             sharpe ratio (excluding risk free return) from daily samples
n_days                   backtest number of days
score                    used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                                   long                                                                                                                   |
+---------------+---------------+-------------+--------------+-----------------+--------------+-------------+---------------+-------------------------+----------------+--------------------------+--------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | pa_dist_mean | pa_dist_std | hrs_stuck_max | pa_dist_1pct_worst_mean | loss_profit_rt | drawdown_1pct_worst_mean | drawdown_max | n_days  | score         |
+---------------+---------------+-------------+--------------+-----------------+--------------+-------------+---------------+-------------------------+----------------+--------------------------+--------------+---------+---------------+
| 1000BONKUSDT  | 0.002927      | 0.00647     | 0.06481      | 0.03365         | 0.009223     | 0.01171     | 31.67         | 0.07211                 | 0.0            | 0.06731                  | 0.09374      | 69.38   | 273499999.997 |
| UMAUSDT       | 0.002556      | 0.001157    | 0.03964      | 0.003173        | 0.006632     | 0.006059    | 57.98         | 0.04136                 | 0.0            | 0.02932                  | 0.1043       | 266.46  | 273499999.997 |
| ARKMUSDT      | 0.002636      | 0.001717    | 0.04579      | 0.01872         | 0.01204      | 0.01069     | 72.0          | 0.05392                 | 0.0            | 0.03783                  | 0.0634       | 186.88  | 273499999.997 |
| ORDIUSDT      | 0.002982      | 0.004901    | 0.01662      | 0.002241        | 0.007987     | 0.006483    | 34.45         | 0.02748                 | 0.0            | 0.006204                 | 0.03513      | 85.46   | 273499999.997 |
| MAVUSDT       | 0.002644      | 0.001548    | 0.01153      | 0.0007312       | 0.01145      | 0.009028    | 79.83         | 0.03621                 | 0.0            | 0.0064                   | 0.02628      | 216.46  | 273499999.997 |
| NTRNUSDT      | 0.003065      | 0.003892    | 0.03156      | 0.005518        | 0.00753      | 0.005999    | 29.28         | 0.02492                 | 0.0            | 0.01415                  | 0.02426      | 78.46   | 273499999.997 |
| SEIUSDT       | 0.00269       | 0.002376    | 0.05452      | 0.03978         | 0.009485     | 0.01257     | 106.4         | 0.1084                  | 0.0            | 0.09752                  | 0.1478       | 167.88  | 273499999.997 |
| RNDRUSDT      | 0.002637      | 0.001932    | 0.02703      | 0.007738        | 0.009166     | 0.008485    | 79.93         | 0.04509                 | 0.0            | 0.0302                   | 0.09488      | 362.88  | 273499999.997 |
| YGGUSDT       | 0.002555      | 0.002426    | 0.07082      | 0.02432         | 0.009253     | 0.01075     | 60.42         | 0.08808                 | 0.0            | 0.08125                  | 0.1028       | 179.83  | 273499999.997 |
