### single symbol backtest metrics ###

update: 2023-12-07

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp            average daily gain, recent data weighted heavier
adg_per_exp              average daily gain for whole backtest
exp_rts_mean             exposure ratios mean: average wallet exposure during backtest
time_at_max_exp          ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max            how many hours in a stretch with no fills
pa_dist_mean             price action distance mean: the average distance between position price and market price
pa_dist_std              price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean  mean of 1% highest pa_dist_mean
loss_profit_rt           loss to profit ratio: abs(sum(losses)) / sum(profit)
drawdown_max             max drawdown
drawdown_1pct_worst_mean mean of 1% worst drawdowns from hourly samples
sharpe_ratio             sharpe ratio (excluding risk free return) from daily samples
n_days                   backtest number of days
score                    used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                                   long                                                                                                                   |
+---------------+---------------+-------------+--------------+-----------------+--------------+-------------+---------------+-------------------------+----------------+--------------------------+--------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | pa_dist_mean | pa_dist_std | hrs_stuck_max | pa_dist_1pct_worst_mean | loss_profit_rt | drawdown_1pct_worst_mean | drawdown_max | n_days  | score         |
| AAVEUSDT      | 0.0008226     | 0.001984    | 0.03892      | 0.01635         | 0.01322      | 0.01324     | 98.4          | 0.07596                 | 0.0            | 0.06547                  | 0.2156       | 1145.67 | 276499999.999 |
| EGLDUSDT      | 0.0006559     | 0.001419    | 0.05541      | 0.01136         | 0.01342      | 0.0118      | 138.3         | 0.06177                 | 0.0            | 0.05435                  | 0.1467       | 1178.67 | 276499999.999 |
| ALPHAUSDT     | 0.0007626     | 0.001826    | 0.02935      | 0.007663        | 0.01511      | 0.01439     | 129.2         | 0.0706                  | 0.0            | 0.03819                  | 0.2431       | 1108.67 | 276499999.999 |
| LEVERUSDT     | 0.0009828     | 0.0008536   | 0.0338       | 0.0233          | 0.009251     | 0.00946     | 51.27         | 0.05575                 | 0.0            | 0.05271                  | 0.09606      | 251.46  | 276499999.999 |
| LRCUSDT       | 0.0009129     | 0.001669    | 0.04327      | 0.01249         | 0.01419      | 0.01285     | 124.6         | 0.0642                  | 0.0            | 0.04677                  | 0.2227       | 1143.67 | 276499999.999 |
| XVGUSDT       | 0.001321      | 0.001603    | 0.1059       | 0.01337         | 0.01432      | 0.01145     | 129.2         | 0.06613                 | 0.0            | 0.05585                  | 0.08342      | 154.46  | 276499999.999 |
| OMGUSDT       | 0.000984      | 0.001748    | 0.0577       | 0.01485         | 0.0124       | 0.01148     | 128.9         | 0.06174                 | 0.0            | 0.05582                  | 0.2069       | 1252.58 | 276499999.999 |
| MINAUSDT      | 0.0009989     | 0.000802    | 0.03651      | 0.008411        | 0.01572      | 0.01158     | 137.1         | 0.05489                 | 0.0            | 0.04408                  | 0.1116       | 302.5   | 276499999.999 |
| IDEXUSDT      | 0.0007702     | 0.0006697   | 0.06879      | 0.01605         | 0.01366      | 0.01282     | 116.2         | 0.09128                 | 0.0            | 0.08287                  | 0.1179       | 217.46  | 276499999.999 |
| ACHUSDT       | 0.0007132     | 0.0007811   | 0.04697      | 8.696e-05       | 0.01609      | 0.01352     | 106.6         | 0.09023                 | 0.0            | 0.05313                  | 0.07587      | 287.38  | 276499999.999 |
| UMAUSDT       | 0.001148      | 0.0008335   | 0.04304      | 0.006845        | 0.008942     | 0.007992    | 105.9         | 0.05127                 | 0.0            | 0.04241                  | 0.1193       | 210.46  | 276499999.999 |
| RSRUSDT       | 0.00058       | 0.001196    | 0.03287      | 0.002273        | 0.0156       | 0.0122      | 122.0         | 0.05155                 | 0.0            | 0.02536                  | 0.1537       | 1143.67 | 276499999.999 |
| TRBUSDT       | 0.0005276     | 0.0006121   | 0.02196      | 0.0005078       | 0.02013      | 0.01649     | 116.3         | 0.09063                 | 0.0            | 0.03013                  | 0.08677      | 1189.67 | 276499999.999 |
| ROSEUSDT      | 0.000797      | 0.0006479   | 0.02092      | 0.002815        | 0.01497      | 0.01209     | 132.3         | 0.05259                 | 0.0            | 0.01739                  | 0.1471       | 705.83  | 276499999.999 |
| FTMUSDT       | 0.000716      | 0.001659    | 0.03845      | 0.01009         | 0.01267      | 0.01383     | 106.3         | 0.08739                 | 0.0            | 0.07405                  | 0.2322       | 1168.67 | 276499999.999 |
| HBARUSDT      | 0.001025      | 0.001662    | 0.07624      | 0.01949         | 0.01232      | 0.01092     | 129.3         | 0.06531                 | 0.0            | 0.05598                  | 0.1426       | 994.67  | 276499999.999 |
